"","ValueID","IndicatorID","InsertDate","Numerator","Denominator","IndicatorValue","IndicatorValueType","LowerCI95","UpperCI95","AggregationType","AggregationLabel","FiscalYear","Gender","AgeGroup","IMD","EthnicityCode","NHSCodeDefinition","StatusID","DataQualityID","IndicatorStartDate","IndicatorEndDate"
"1",1,49,2024-05-29,77,2254,3416.14906832298,"Overall Crude Rate",2695.87367395377,4269.6552817392,"ICB","BSOL ICB","2019/2020","Persons","65+",NA,NA,NA,1,1,2019-04-01,2020-03-31
"2",2,49,2024-05-29,58,2254,2573.20319432121,"Overall Crude Rate",1953.82505974848,3326.52137489456,"ICB","BSOL ICB","2020/2021","Persons","65+",NA,NA,NA,1,1,2020-04-01,2021-03-31
"3",3,49,2024-05-29,75,2254,3327.41792369122,"Overall Crude Rate",2617.12597096589,4171.00269142226,"ICB","BSOL ICB","2021/2022","Persons","65+",NA,NA,NA,1,1,2021-04-01,2022-03-31
"4",4,49,2024-05-29,90,2254,3992.90150842946,"Overall Crude Rate",3210.67528137085,4908.00635549507,"ICB","BSOL ICB","2022/2023","Persons","65+",NA,NA,NA,1,1,2022-04-01,2023-03-31
"5",5,49,2024-05-29,98,2254,4347.82608695652,"Overall Crude Rate",3529.69071202097,5298.65846052607,"ICB","BSOL ICB","2023/2024","Persons","65+",NA,NA,NA,1,1,2023-04-01,2024-03-31
"6",6,49,2024-05-29,1,143,699.300699300699,"Ethnicity Crude Rate",17.7047608281748,3896.25411953769,"ICB","BSOL ICB","2019/2020","Persons","65+",NA,"E","Mixed - White and Black African",1,1,2019-04-01,2020-03-31
"7",7,49,2024-05-29,2,143,1398.6013986014,"Ethnicity Crude Rate",169.377117862913,5052.2291382685,"ICB","BSOL ICB","2020/2021","Persons","65+",NA,"E","Mixed - White and Black African",1,1,2020-04-01,2021-03-31
"8",8,49,2024-05-29,1,143,699.300699300699,"Ethnicity Crude Rate",17.7047608281748,3896.25411953769,"ICB","BSOL ICB","2021/2022","Persons","65+",NA,"E","Mixed - White and Black African",1,1,2021-04-01,2022-03-31
"9",9,49,2024-05-29,2,143,1398.6013986014,"Ethnicity Crude Rate",169.377117862913,5052.2291382685,"ICB","BSOL ICB","2022/2023","Persons","65+",NA,"E","Mixed - White and Black African",1,1,2022-04-01,2023-03-31
"10",10,49,2024-05-29,4,143,2797.2027972028,"Ethnicity Crude Rate",762.143617920507,7161.95012265993,"ICB","BSOL ICB","2023/2024","Persons","65+",NA,"E","Mixed - White and Black African",1,1,2023-04-01,2024-03-31
