"Practice_Code","Type","PCN","PCN_Code","Locality","Locality_Code","LA","LA_Code"
"M81062","Main","South Birmingham Alliance","U13655","South","BSOL011","Birmingham","E08000025"
"M85001","Main","North Birmingham","U43660","North","BSOL009","Birmingham","E08000025"
"M85002","Main","Modality","U44537","West","BSOL012","Birmingham","E08000025"
"M85002 001","Branch","Modality","U44537","West","BSOL012","Birmingham","E08000025"
"M85005","Main","Small Heath","U15552","East","BSOL010","Birmingham","E08000025"
"M85006","Main","Moseley, Billesley and Yardley Wood","U69625","Central","BSOL008","Birmingham","E08000025"
"M85007","Main","South West Birmingham","U91268","South","BSOL011","Birmingham","E08000025"
"H7DBT","Branch","Bordesley East","U46437","East","BSOL010","Birmingham","E08000025"
"M85009","Main","Peoples Health Partnership","U25240","West","BSOL012","Birmingham","E08000025"
"M85009 001","Branch","Peoples Health Partnership","U25240","West","BSOL012","Birmingham","E08000025"
"M85011","Main","Bordesley East","U46437","East","BSOL010","Birmingham","E08000025"
"M85013","Main","Birmingham East Central","U79433","East","BSOL010","Birmingham","E08000025"
"M85014","Main","North Birmingham","U43660","North","BSOL009","Birmingham","E08000025"
"M85016","Main","GOSK","U82305","North","BSOL009","Birmingham","E08000025"
"M85018","Main","Moseley, Billesley and Yardley Wood","U69625","Central","BSOL008","Birmingham","E08000025"
"M85019","Main","Pioneers Integrated Partnership","U54554","West","BSOL012","Birmingham","E08000025"
"M85020","Main","I3","U65968","West","BSOL012","Birmingham","E08000025"
"M85021","Main","Pershore","U88190","Central","BSOL008","Birmingham","E08000025"
"M85023","Main","Weoley and Rubery","U51153","South","BSOL011","Birmingham","E08000025"
"M85024","Main","Small Heath","U15552","East","BSOL010","Birmingham","E08000025"
"M85024 002","Branch","Small Heath","U15552","East","BSOL010","Birmingham","E08000025"
"M85025","Main","Edgbaston","U27129","South","BSOL011","Birmingham","E08000025"
"M85026","Main","Alliance of Sutton Practices","U47609","North","BSOL009","Birmingham","E08000025"
"M85027","Main","Weoley and Rubery","U51153","South","BSOL011","Birmingham","E08000025"
"M85028","Main","Quinton and Harborne","U79381","South","BSOL011","Birmingham","E08000025"
"M85028 001","Branch","Quinton and Harborne","U79381","South","BSOL011","Birmingham","E08000025"
"M85028 002","Branch","Quinton and Harborne","U79381","South","BSOL011","Birmingham","E08000025"
"M85029","Main","Bournville and Northfield","U27366","South","BSOL011","Birmingham","E08000025"
"M85030","Main","Bournville and Northfield","U27366","South","BSOL011","Birmingham","E08000025"
"M85031","Main","Shard End and Kitts Green","U72309","East","BSOL010","Birmingham","E08000025"
"M85033","Main","Alliance of Sutton Practices","U47609","North","BSOL009","Birmingham","E08000025"
"M85033 001","Branch","Alliance of Sutton Practices","U47609","North","BSOL009","Birmingham","E08000025"
"M85034","Main","Birmingham East Central","U79433","East","BSOL010","Birmingham","E08000025"
"M85035","Main","Weoley and Rubery","U51153","South","BSOL011","Birmingham","E08000025"
"M85037","Main","Pershore","U88190","Central","BSOL008","Birmingham","E08000025"
"M85041","Main","Harborne","U46454","South","BSOL011","Birmingham","E08000025"
"M85042","Main","Pershore","U88190","Central","BSOL008","Birmingham","E08000025"
"M85043","Main","South West Birmingham","U91268","South","BSOL011","Birmingham","E08000025"
"M85046","Main","Sutton Group Practice","U65039","North","BSOL009","Birmingham","E08000025"
"M85046 001","Branch","Sutton Group Practice","U65039","North","BSOL009","Birmingham","E08000025"
"M85046 002","Branch","Sutton Group Practice","U65039","North","BSOL009","Birmingham","E08000025"
"M85046 003","Branch","Sutton Group Practice","U65039","North","BSOL009","Birmingham","E08000025"
"M85046 004","Branch","Sutton Group Practice","U65039","North","BSOL009","Birmingham","E08000025"
"M85046 005","Branch","Sutton Group Practice","U65039","North","BSOL009","Birmingham","E08000025"
